Amount,Num Coins,Time
,,
30,2,0.019000053
31,3,0.023999929
32,4,0.032999992
33,5,0.044000149
34,6,0.059999943
35,2,0.082000017
36,3,0.111000061
37,4,0.153000116
38,5,0.200999975
39,6,0.276000023
40,3,0.380000114
41,4,0.513000011
42,5,0.697000027
43,6,0.944999933
44,7,1.299999952
45,3,1.768999815
46,4,2.403999805
47,5,3.277999878
48,6,4.460999966
49,7,6.154000044
50,2,8.184000015
51,3,11.09700012
52,4,15.10299993
53,5,20.78500009
54,6,28.19300008
55,3,38.4059999
56,4,52.17799997
57,5,71.83400011
58,6,95.96499991
59,7,130.6400001
